timestep,x,y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,2,85,0.0,0.0,0.0,0.0,1.2605801e-09,0.0
0,2,87,0.0,0.0,0.0,0.0,0.0,2.7869216e-09
0,2,88,0.0,0.0,0.0,0.0,0.0,1.5802387e-09
0,2,95,0.0,0.0,0.0,0.0,0.0,4.128901e-09
0,3,0,3.3319014e-11,0.0,0.0,0.0,0.0,0.0
0,3,3,0.0,1.5066963e-09,0.0,0.0,2.7430265e-09,2.1209208e-09
0,3,5,0.0,1.3435253e-09,0.0,0.0,1.2768391e-09,2.8132496e-12
0,3,6,0.0,0.0,0.0,1.2530588e-11,0.0,0.0
0,3,8,0.0,0.0,0.0,0.0,0.0,1.6135933e-09
0,3,13,0.0,0.0,0.0,0.0,0.0,1.7148736e-09
0,3,15,0.0,0.0,0.0,0.0,1.3549255e-09,0.0
0,3,16,0.0,0.0,0.0,2.0098756e-11,0.0,0.0
0,3,22,0.0,1.2118194e-09,0.0,0.0,2.7486546e-09,4.1589793e-10
0,3,23,0.0,0.0,0.0,0.0,0.0,1.7974784e-09
0,3,25,0.0,0.0,1.3136261e-09,0.0,0.0,0.0
0,3,26,0.0,0.0,0.0,0.0,0.0,1.7279769e-09
0,3,27,0.0,0.0,0.0,0.0,0.0,1.3564055e-10
0,3,33,0.0,0.0,0.0,0.0,0.0,1.836172e-09
0,3,35,0.0,0.0,0.0,0.0,1.7616619e-09,0.0
0,3,39,0.0,2.2297357e-09,0.0,0.0,2.7959213e-09,0.0
0,3,41,0.0,0.0,0.0,0.0,1.2319539e-09,0.0
0,3,42,0.0,1.2142407e-09,0.0,0.0,1.6529398e-09,0.0
0,3,45,0.0,0.0,0.0,0.0,0.0,1.2925365e-09
0,3,51,0.0,3.1467051e-12,0.0,0.0,1.5441366e-09,0.0
0,3,52,0.0,0.0,0.0,0.0,0.0,1.7423519e-09
0,3,58,0.0,1.4082213e-09,0.0,0.0,1.4914069e-09,0.0
0,3,59,0.0,0.0,0.0,0.0,1.7434293e-09,0.0
0,3,71,0.0,2.3584197e-09,0.0,0.0,3.1545935e-09,1.6544984e-09
0,3,72,0.0,2.7345557e-09,0.0,0.0,4.0973642e-09,2.4685762e-09
0,3,73,0.0,0.0,0.0,0.0,0.0,3.7527363e-09
0,3,76,0.0,0.0,0.0,0.0,0.0,1.7519833e-09
0,3,82,0.0,0.0,0.0,0.0,0.0,1.6392094e-09
0,3,95,0.0,0.0,0.0,2.217826e-11,0.0,0.0
0,3,97,0.0,0.0,0.0,0.0,0.0,3.599352e-09
0,3,98,0.0,1.8173745e-09,0.0,0.0,2.6251945e-09,0.0
0,4,0,0.0,0.0,0.0,0.0,1.4915037e-09,0.0
0,4,3,0.0,0.0,0.0,0.0,0.0,1.787454e-09
0,4,4,0.0,0.0,0.0,0.0,0.0,2.0728697e-09
0,4,6,0.0,0.0,2.5954496e-09,4.593711e-10,6.397969e-10,0.0
0,4,8,0.0,3.572314e-09,0.0,0.0,8.329662e-09,2.749087e-10
0,4,11,0.0,0.0,0.0,0.0,0.0,1.3197575e-09
0,4,15,0.0,3.9615883e-10,0.0,0.0,0.0,2.4174267e-09
0,4,18,0.0,1.8743809e-09,0.0,0.0,2.6717086e-09,0.0
0,4,20,0.0,0.0,0.0,0.0,0.0,2.1683983e-09
0,4,21,0.0,1.7589413e-10,0.0,0.0,0.0,0.0
0,4,25,0.0,1.1240077e-09,0.0,0.0,1.600794e-09,0.0
0,4,29,0.0,0.0,0.0,0.0,0.0,1.534829e-09
